784445,prelaunchdata,0.97,-0.69
784493,prelaunchdata,0.96,-0.65
784540,prelaunchdata,0.95,-0.73
784588,prelaunchdata,0.73,-13.37
784635,prelaunchdata,-0.95,-105.41
784683,prelaunchdata,-2.55,-99.80
784731,prelaunchdata,-3.43,-52.03
784778,prelaunchdata,-3.72,-18.03
784826,prelaunchdata,-3.27,26.43
784874,flightdata,-0.87,150.13
784922,flightdata,1.90,163.11
784969,flightdata,4.40,156.40
785017,flightdata,6.71,135.77
785064,flightdata,8.89,136.00
785115,flightdata,11.00,131.86
785163,flightdata,13.03,119.60
785210,flightdata,14.94,119.33
785258,flightdata,16.78,114.94
785306,flightdata,18.44,97.77
785353,flightdata,19.94,93.36
785401,flightdata,21.37,89.52
785449,flightdata,22.77,82.48
785496,flightdata,24.12,84.47
785544,flightdata,25.51,86.55
785592,flightdata,26.89,81.48
785639,flightdata,28.28,86.81
785687,flightdata,29.67,86.60
785734,flightdata,31.06,87.31
785782,flightdata,32.49,88.91
785833,flightdata,33.91,83.55
785880,flightdata,35.30,87.18
785928,flightdata,36.58,80.24
785976,flightdata,37.56,57.13
786023,flightdata,38.27,44.63
786109,flightdata,38.80,31.22
786156,flightdata,39.00,12.73
786204,flightdata,39.04,1.93
786251,flightdata,39.10,3.94
786298,flightdata,39.19,5.85
786346,flightdata,39.31,6.84
786393,flightdata,39.61,18.50
786441,flightdata,40.02,24.23
786488,flightdata,40.59,35.91
786535,flightdata,41.27,42.07
786583,flightdata,42.03,47.86
786630,flightdata,42.83,49.70
786680,flightdata,43.68,50.50
786728,flightdata,44.55,53.92
786775,flightdata,45.43,54.83
786823,flightdata,46.28,50.32
786870,flightdata,47.13,53.25
786918,flightdata,47.97,49.48
786965,flightdata,48.79,50.79
787012,flightdata,49.58,46.66
787060,flightdata,50.38,49.74
787107,flightdata,51.15,48.69
787155,flightdata,51.91,47.39
787202,flightdata,52.65,45.96
787250,flightdata,53.36,41.67
787297,flightdata,54.03,41.95
787345,flightdata,54.68,38.40
787392,flightdata,55.29,38.34
787442,flightdata,55.91,38.23
787490,flightdata,56.50,35.14
787538,flightdata,57.08,34.03
787585,flightdata,57.64,35.23
787632,flightdata,58.23,36.61
787680,flightdata,58.80,35.79
787727,flightdata,59.35,34.24
787774,flightdata,59.89,31.42
787822,flightdata,60.40,30.33
787869,flightdata,60.85,28.05
787917,flightdata,61.28,25.08
787964,flightdata,61.69,25.96
788011,flightdata,62.11,26.26
788059,flightdata,62.51,23.30
788106,flightdata,62.89,24.04
788154,flightdata,63.23,20.03
788204,flightdata,63.55,20.02
788251,flightdata,63.83,17.02
788299,flightdata,64.09,15.64
788346,flightdata,64.34,15.70
788393,flightdata,64.59,15.57
788441,flightdata,64.82,13.35
788488,flightdata,65.04,13.93
788535,flightdata,65.24,12.30
788583,flightdata,65.42,10.53
788630,flightdata,65.58,10.45
788678,flightdata,65.73,8.54
788725,flightdata,65.85,7.37
788772,flightdata,65.95,6.40
788819,flightdata,66.05,6.27
788867,flightdata,66.12,4.01
788914,flightdata,66.15,2.02
788965,flightdata,66.17,1.37
789012,flightdata,66.18,0.47
789060,flightdata,66.16,-1.21
789107,flightdata,66.13,-1.72
789155,flightdata,66.11,-1.49
789202,flightdata,66.06,-3.06
789250,flightdata,65.98,-4.40
789297,flightdata,65.89,-5.84
789345,flightdata,65.76,-7.73
789392,flightdata,65.63,-8.21
789439,flightdata,65.47,-9.25
789487,flightdata,65.29,-11.00
789535,flightdata,65.10,-11.18
789582,flightdata,64.92,-11.18
789630,flightdata,64.71,-12.74
789677,flightdata,64.48,-14.56
789728,flightdata,64.22,-14.79
789747,flightmessageVELOCITY DECOUPLED
789794,decoupleddata,63.95,-17.03
789842,decoupleddata,63.65,-17.59
789889,decoupleddata,63.32,-20.52
789937,decoupleddata,62.97,-20.64
789984,decoupleddata,62.59,-23.85
790032,decoupleddata,62.17,-24.94
790079,decoupleddata,61.71,-28.40
790127,decoupleddata,61.26,-26.75
790174,decoupleddata,60.81,-28.19
790222,decoupleddata,60.34,-27.30
790269,decoupleddata,59.87,-29.26
790317,decoupleddata,59.38,-28.95
790368,decoupleddata,58.86,-30.91
790415,decoupleddata,58.30,-34.77
790463,decoupleddata,57.73,-35.44
790510,decoupleddata,57.13,-37.77
790558,decoupleddata,56.53,-37.70
790605,decoupleddata,55.89,-40.03
790653,decoupleddata,55.22,-41.54
790700,decoupleddata,54.52,-43.77
790748,decoupleddata,53.83,-43.24
790795,decoupleddata,53.12,-44.54
790843,decoupleddata,52.41,-44.08
790890,decoupleddata,51.67,-46.42
790938,decoupleddata,50.91,-44.81
790985,decoupleddata,50.13,-48.35
791036,decoupleddata,49.36,-48.61
791083,decoupleddata,48.59,-48.08
791131,decoupleddata,47.82,-47.56
791178,decoupleddata,47.07,-44.35
791226,decoupleddata,46.27,-49.89
791274,decoupleddata,45.43,-49.69
791321,decoupleddata,44.51,-57.12
791369,decoupleddata,43.57,-55.25
791416,decoupleddata,42.56,-63.22
791464,decoupleddata,41.52,-61.19
791511,decoupleddata,40.48,-65.44
791559,decoupleddata,39.41,-62.50
791606,decoupleddata,38.35,-66.59
791654,decoupleddata,37.26,-67.80
791704,decoupleddata,36.18,-67.85
791752,decoupleddata,35.04,-70.89
791800,decoupleddata,33.93,-69.69
791848,decoupleddata,32.78,-67.55
791895,decoupleddata,31.67,-69.24
791943,decoupleddata,30.55,-66.04
791990,decoupleddata,29.46,-67.83
792038,decoupleddata,28.36,-65.11
792085,decoupleddata,27.27,-67.89
792133,decoupleddata,26.16,-69.16
792181,decoupleddata,25.04,-66.09
792228,decoupleddata,23.90,-71.48
792276,decoupleddata,22.68,-71.33
792323,decoupleddata,21.36,-82.81
792371,decoupleddata,20.03,-78.34
792421,decoupleddata,18.72,-81.81
792469,decoupleddata,17.40,-77.73
792516,decoupleddata,16.10,-80.89
792564,decoupleddata,14.82,-75.59
792611,decoupleddata,13.27,-96.86
792659,decoupleddata,11.55,-107.59
792706,decoupleddata,9.76,-105.31
792754,decoupleddata,7.98,-110.82
792802,decoupleddata,6.34,-96.65
792849,decoupleddata,5.05,-80.64
792897,decoupleddata,4.05,-59.11
792944,decoupleddata,3.29,-47.48
792992,decoupleddata,2.73,-32.84
793039,decoupleddata,2.30,-26.82
793089,decoupleddata,1.96,-19.70
793137,decoupleddata,1.71,-15.58
793184,decoupleddata,1.49,-14.30
793232,decoupleddata,1.28,-12.91
793280,decoupleddata,1.10,-10.24
793327,decoupleddata,0.97,-8.41
793374,decoupleddata,0.84,-7.93
793421,decoupleddata,0.74,-6.48
793469,decoupleddata,0.66,-4.65
793516,decoupleddata,0.60,-4.02
793563,decoupleddata,0.55,-2.94
793611,decoupleddata,0.53,-1.06
793658,decoupleddata,0.55,0.88
793705,decoupleddata,0.55,0.20
793752,decoupleddata,0.54,-0.33
793803,decoupleddata,0.52,-1.24
793850,decoupleddata,0.50,-1.17
793897,decoupleddata,0.48,-1.78
793945,decoupleddata,0.47,-0.57
793992,decoupleddata,0.46,-0.15
794039,decoupleddata,0.47,0.74
794086,decoupleddata,0.47,-0.06
794134,decoupleddata,0.46,-0.82
794181,decoupleddata,0.45,-0.75
794228,decoupleddata,0.43,-0.94
794276,decoupleddata,0.43,0.07
794323,decoupleddata,0.44,0.45
794370,decoupleddata,0.44,0.15
794417,decoupleddata,0.45,0.26
794465,decoupleddata,0.47,1.09
794515,decoupleddata,0.47,0.10
794562,decoupleddata,0.46,-0.59
794610,decoupleddata,0.46,-0.19
794657,decoupleddata,0.45,-0.67
794705,decoupleddata,0.44,-0.65
794752,decoupleddata,0.44,0.57